h,text:source code,Header File or Haskell Source
c,text:source code,C Source
f,text:source code,Fortran Source
l,text:source code,Lisp Source
s,text:source code,MIPS Assembler Source or R Source
m,text:source code,Objective-C Source
p,text:source code,Pascal Source
r,text:source code,R Source
i,text:source code,SWIG Source
a,text:source code,C/C++ Static Library

as,text:source code,ActionScript Source
cc,text:source code,C++ Source
cp,text:source code,C++ Source
cs,text:source code,C# Source
hh,text:source code,C++ Header File
go,text:source code,Golang Source
io,text:source code,Io Source
js,text:source code,JavaScript Source
cl,text:source code,Lisp Source
el,text:source code,Lisp Source
md,text:template,Markdown Document
mk,text:source code,Makefile Source
m3,text:source code,Modula-3 Source
mm,text:source code,Objective-C Source
ml,text:source code,OCaml Source
pl,text:source code,Perl Source
pm,text:source code,Perl Module
ps,text:source code,PostScript Source
py,text:source code,Python Source
rl,text:source code,Ragel Source
rb,text:source code,Ruby Source
sh,text:source code,Shell Script
ss,text:source code,Shell Script
pt,text:data,PyTorch Model File
vb,text:source code,Visual Basic Source
7z,archive,7-Zip Compressed File

adb,text:source code,ADA Source
ads,text:source code,ADA Source
asp,text:source code,ASP Source
asa,text:source code,ASP Source
bib,text:source code,BibTeX Bibliography
cpp,text:source code,C++ Source
cxx,text:source code,C++ Source
c++,text:source code,C++ Source
clj,text:source code,Clojure Source
csv,text:data,Comma Separated Values
tsv,text:data,Tab Separated Values
cgi,text:source code,GCI Script
css,text:source code,Cascading Style Sheet
erl,text:source code,Erlang Source
hrl,text:source code,Erlang Source
for,text:source code,Fortran Source
fpp,text:source code,Fortran Source
f77,text:source code,Fortran Source
f90,text:source code,Fortran Source
f95,text:source code,Fortran Source
pch,text:source code,Header File
cfg,text:configure,Generic Configuration File
dtd,text,Document Type Definition
hpp,text:source code,C++ Header
hxx,text:source code,C++ Header
h++,text:source code,C++ Header
gtd,text,GTD Document
hls,text:source code,Haskell Source
htm,text:source code,HTML Document
inc,text:source code,Include File
ics,text:data,iCalendar Schedule
ini,text:configure,MS Window Initialization File
bsh,script,BeanShell Script
htc,text:source code,JavaScript Source
jsp,text:source code,Java Server Page
lsp,text:source code,Lisp Source
mud,text:source code,Lisp Source
log,text,Log File
lua,text:source code,Lua Source
mips,text:source code,MIPS Assembler Source
asm,text:source code,MIPS Assembler Source
cm3,text:source code,Module-3 Source
mli,text:source code,OCaml Source
mll,text:source code,OCaml Source
mly,text:source code,OCaml Source
hbs,text:source code,Mustache Document
pas,text:source code,Pascal Source
pod,text:source code,Perl Source
php,text:source code,PHP Source
eps,text:source code,PostScript Source
rpy,text:source code,Python Source
cpy,text:source code,Python Source
rem,text:template,Remind Document
rst,text:template,reStructuredText Document
erb,text:source code,HTML with embedded Ruby
rbx,text:source code,Ruby Source
rjs,text:source code,Ruby Source
scm,text:source code,Scheme Source
sch,text:source code,Scheme Source
ext,text:template,Setext Document
sql,text:source code,SQL Source
sml,text:source code,Standard ML Source
svg,media:image,Scalable Vector Graphics
swg,text:source code,SWIG Source
tcl,text:source code,Tcl Source
tex,text:template,TeX Document
sty,text:template,TeX Document
cls,text:template,TeX Document
txt,text,Plain Text Document
xml,text:data,XML Document
xsd,text:data,XML Document
xib,text:data,XML Document or Apple Interface Builder
rss,text:data,XML Document and Rich Site Summary
tld,text:data,XML Document and Tag Library Descriptor File
cpt,text:data,XML Document Current Proedural Terminology
xsl,text:data,XSL Stylesheet
vcf,text:data,Electronic Business Card
yml,text:data,YAML Document
nfo,text:data,Text Document
ace,archive,ACE Compressed File
ALZ,archive,ALZip Compressed File
alz,archive,ALZip Compressed File
APK,archive,Android Package
apk,archive,Android Package
aac,media:audio,Advanced Audio Coding
at3,archive,Sony's UMD Data Compression File
arc,archive,Nintendo U8 Archive
arj,archive,ARJ Compressed File

scpt,text:source code,Compile AppleScript,
aspx,text:source code,ASP.NET Source
ascx,text:source code,ASP.NET Source
asmx,text:source code,ASP.NET Source
ashx,text:source code,ASP.NET Source
cfdg,text:source code,Context Free Design Grammar
cljs,text:source code,Clojure Source
fcgi,text:source code,CGI Script
diff,text:version control, Git Differences
conf,text:configure,Generic Configuration File
html,text:source code,HTML Document
java,text:source code,Java Source
json,text:data,JSON File
ldif,text:data,LDAP Data Interchange Format
less,text:source code,Less Source
lisp,text:source code,Lisp Source
logo,text:source code,Logo Source
wiki,text:template,Mediawiki Document
spim,text:source code,MIPS Assembler Source
perl,text:source code,Perl Source
php3,text:source code,PHP Source
php4,text:source code,PHP Source
php5,text:source code,PHP Source
dict,text:data,Property List
rest,text:template,reStructuredText Document
rxml,text:source code,Ruby Source
sass,text:source code,Sass Source
scss,text:source code,Sass Source
text,text,Plain text Document
utf8,text,Plain Text Document
toml,text:data,TOML File
dtml,text:template,XML Document
xslt,text:template,XSL Stylesheet
yaml,text:data,YAML Document
appx,archive,Microsoft Application Package

applescript,text:source code,AppleScript Source
coffee,text:source code,CoffeeScript Source
COMMIT_EDITMSG,text:version control,Git
dylan,text:source code,Dylan Source
fscript,text:source code,F-Script source
config,text:configure,Generic Configuration File
htaccess,text:configure,Apache Configuration File
phtml,text:source code,HTML Document
shtml,text:source code,HTML Document
properties,text:source code,Java Properties File
markdown,text:template,Markdown Document
mdown,text:template,Markdown Document
